,Full Name,Year,Tm,FG%,Dist.,2P_A,0-3_A,3-10_A,10-16_A,16-3pt_A,3P_A,2P%,0-3%,3-10%,10-16%,16-3pt%,3P%,Astd_2P,Dunk%,Dunks_Md,Astd_3P,%Corner3_A,Corner_3P%,Heaves_A,Heaves_Md
4,Quincy Acy,2014,NYK,0.459,12.8,0.819,0.296,0.094,0.133,0.296,0.181,0.494,0.673,0.419,0.409,0.378,0.3,0.724,0.106,33.0,1.0,0.383,0.261,1.0,0.0
5,Quincy Acy,2015,SAC,0.556,9.7,0.771,0.458,0.121,0.037,0.154,0.229,0.606,0.735,0.385,0.5,0.424,0.388,0.71,0.215,43.0,0.947,0.347,0.529,0.0,0.0
6,Quincy Acy,2016,TOT,0.412,16.2,0.471,0.265,0.065,0.076,0.059,0.529,0.413,0.489,0.273,0.308,0.4,0.411,0.727,0.035,6.0,0.973,0.278,0.36,1.0,0.0
7,Quincy Acy,2016,DAL,0.294,15.4,0.588,0.235,0.118,0.059,0.118,0.412,0.4,0.5,0.5,1.0,0.0,0.143,0.75,0.118,2.0,1.0,0.286,0.5,0.0,0.0
8,Quincy Acy,2016,BRK,0.425,16.3,0.458,0.268,0.059,0.078,0.052,0.542,0.414,0.488,0.222,0.25,0.5,0.434,0.724,0.026,4.0,0.972,0.277,0.348,1.0,0.0
9,Quincy Acy,2017,BRK,0.356,20.7,0.2,0.115,0.027,0.025,0.033,0.8,0.384,0.5,0.0,0.333,0.333,0.349,0.857,0.036,9.0,0.99,0.305,0.404,0.0,0.0
10,Quincy Acy,2018,PHO,0.222,21.7,0.167,0.111,0.0,0.056,0.0,0.833,0.667,1.0,,0.0,,0.133,1.0,0.0,0.0,1.0,0.333,0.2,0.0,0.0
0,Hassan Adams,2006,NJN,0.556,5.1,0.993,0.681,0.059,0.074,0.178,0.007,0.56,0.652,0.0,0.3,0.5,0.0,0.747,0.111,15.0,,0.0,,0.0,0.0
1,Hassan Adams,2008,TOR,0.308,7.8,1.0,0.462,0.154,0.154,0.231,0.0,0.308,0.333,0.0,0.0,0.667,,0.5,0.077,1.0,,,,0.0,0.0
0,Jaylen Adams,2018,ATL,0.345,20.2,0.327,0.118,0.082,0.073,0.055,0.673,0.361,0.538,0.111,0.25,0.5,0.338,0.231,0.0,0.0,0.84,0.149,0.182,1.0,0.0
0,Jordan Adams,2014,MEM,0.407,13.1,0.709,0.267,0.174,0.081,0.186,0.291,0.41,0.565,0.267,0.714,0.188,0.4,0.6,0.0,0.0,0.9,0.36,0.222,0.0,0.0
1,Jordan Adams,2015,MEM,0.333,10.8,0.833,0.333,0.0,0.5,0.0,0.167,0.4,0.5,,0.333,,0.0,0.5,0.0,0.0,,0.0,,0.0,0.0
0,Steven Adams,2013,OKC,0.503,3.2,1.0,0.659,0.292,0.043,0.005,0.0,0.503,0.615,0.296,0.25,0.0,,0.613,0.162,26.0,,,,0.0,0.0
1,Steven Adams,2014,OKC,0.544,3.3,0.995,0.599,0.356,0.038,0.003,0.005,0.547,0.644,0.408,0.333,0.0,0.0,0.65,0.213,72.0,,0.0,,1.0,0.0
2,Steven Adams,2015,OKC,0.613,2.2,1.0,0.721,0.258,0.016,0.005,0.0,0.613,0.655,0.5,0.571,0.5,,0.762,0.277,101.0,,,,0.0,0.0
3,Steven Adams,2016,OKC,0.571,3.7,0.998,0.557,0.388,0.046,0.005,0.002,0.572,0.655,0.488,0.367,0.0,0.0,0.668,0.198,112.0,,0.0,,1.0,0.0
4,Steven Adams,2017,OKC,0.629,2.6,0.997,0.708,0.233,0.052,0.004,0.003,0.631,0.688,0.494,0.514,0.0,0.0,0.69,0.242,150.0,,0.0,,2.0,0.0
5,Steven Adams,2018,OKC,0.595,3.5,0.998,0.645,0.294,0.058,0.0,0.002,0.596,0.667,0.458,0.511,,0.0,0.642,0.19,131.0,,0.0,,2.0,0.0
0,Bam Adebayo,2017,MIA,0.512,4.3,0.979,0.624,0.232,0.082,0.041,0.021,0.523,0.642,0.329,0.321,0.214,0.0,0.701,0.294,91.0,,0.0,,4.0,0.0
1,Bam Adebayo,2018,MIA,0.576,5.2,0.969,0.572,0.243,0.121,0.033,0.031,0.588,0.716,0.415,0.373,0.438,0.2,0.7,0.257,117.0,0.667,0.267,0.0,2.0,0.0
0,Deng Adel,2018,CLE,0.306,19.2,0.361,0.139,0.083,0.111,0.028,0.639,0.385,0.4,0.333,0.25,1.0,0.261,0.6,0.0,0.0,1.0,0.217,0.2,0.0,0.0
0,Jeff Adrien,2010,GSW,0.426,4.3,1.0,0.574,0.315,0.093,0.019,0.0,0.426,0.581,0.235,0.0,1.0,,0.696,0.093,5.0,,,,0.0,0.0
1,Jeff Adrien,2011,HOU,0.438,8.4,1.0,0.313,0.313,0.125,0.25,0.0,0.438,0.6,0.2,1.0,0.25,,0.429,0.125,1.0,,,,0.0,0.0
2,Jeff Adrien,2012,CHA,0.429,9.0,0.988,0.363,0.208,0.143,0.274,0.012,0.434,0.508,0.429,0.417,0.348,0.0,0.639,0.065,8.0,,0.0,,1.0,0.0
3,Jeff Adrien,2013,TOT,0.52,5.5,1.0,0.56,0.222,0.098,0.12,0.0,0.52,0.617,0.426,0.333,0.394,,0.643,0.109,27.0,,,,0.0,0.0
4,Jeff Adrien,2013,CHA,0.55,3.0,1.0,0.825,0.075,0.1,0.0,0.0,0.55,0.576,0.667,0.25,,,0.545,0.075,3.0,,,,0.0,0.0
5,Jeff Adrien,2013,MIL,0.515,5.9,1.0,0.515,0.247,0.098,0.14,0.0,0.515,0.628,0.414,0.348,0.394,,0.661,0.115,24.0,,,,0.0,0.0
6,Jeff Adrien,2014,MIN,0.432,5.3,1.0,0.523,0.25,0.114,0.114,0.0,0.432,0.522,0.273,0.4,0.4,,0.632,0.068,2.0,,,,0.0,0.0
0,Arron Afflalo,2007,DET,0.411,12.7,0.801,0.332,0.054,0.129,0.286,0.199,0.461,0.525,0.308,0.419,0.435,0.208,0.652,0.008,2.0,0.8,0.458,0.091,1.0,0.0
1,Arron Afflalo,2008,DET,0.437,15.8,0.643,0.24,0.023,0.07,0.31,0.357,0.456,0.625,0.429,0.333,0.355,0.402,0.534,0.003,1.0,0.93,0.654,0.429,0.0,0.0
2,Arron Afflalo,2009,DEN,0.465,15.3,0.574,0.258,0.056,0.079,0.181,0.426,0.488,0.55,0.364,0.391,0.481,0.434,0.543,0.012,6.0,0.972,0.562,0.436,0.0,0.0
3,Arron Afflalo,2010,DEN,0.498,14.8,0.604,0.241,0.132,0.077,0.155,0.396,0.546,0.662,0.518,0.5,0.412,0.423,0.565,0.002,1.0,1.0,0.581,0.451,1.0,0.0
4,Arron Afflalo,2011,DEN,0.471,13.5,0.684,0.272,0.142,0.107,0.163,0.316,0.504,0.684,0.323,0.373,0.447,0.398,0.689,0.009,6.0,0.966,0.493,0.45,0.0,0.0
5,Arron Afflalo,2012,ORL,0.439,14.8,0.735,0.175,0.128,0.202,0.23,0.265,0.489,0.646,0.414,0.497,0.404,0.3,0.486,0.006,4.0,0.958,0.304,0.438,0.0,0.0
6,Arron Afflalo,2013,ORL,0.459,16.1,0.703,0.157,0.081,0.161,0.304,0.297,0.473,0.591,0.366,0.509,0.42,0.427,0.53,0.002,2.0,0.883,0.3,0.489,2.0,0.0
7,Arron Afflalo,2014,TOT,0.424,16.3,0.623,0.124,0.136,0.161,0.202,0.377,0.466,0.573,0.375,0.486,0.447,0.354,0.549,0.0,0.0,0.958,0.387,0.341,0.0,0.0
8,Arron Afflalo,2014,DEN,0.428,16.2,0.63,0.117,0.148,0.17,0.195,0.37,0.481,0.571,0.361,0.5,0.5,0.337,0.543,0.0,0.0,0.976,0.383,0.355,0.0,0.0
9,Arron Afflalo,2014,POR,0.414,16.7,0.604,0.145,0.101,0.132,0.225,0.396,0.423,0.576,0.435,0.433,0.314,0.4,0.569,0.0,0.0,0.917,0.4,0.306,0.0,0.0
10,Arron Afflalo,2015,NYK,0.443,14.8,0.702,0.115,0.178,0.193,0.217,0.298,0.469,0.609,0.458,0.455,0.416,0.382,0.49,0.003,2.0,0.912,0.424,0.446,0.0,0.0
11,Arron Afflalo,2016,SAC,0.44,16.8,0.64,0.1,0.117,0.186,0.236,0.36,0.457,0.571,0.449,0.449,0.424,0.411,0.504,0.002,1.0,0.968,0.384,0.517,1.0,0.0
12,Arron Afflalo,2017,ORL,0.401,17.1,0.568,0.093,0.123,0.154,0.198,0.432,0.413,0.733,0.45,0.36,0.281,0.386,0.632,0.0,0.0,0.926,0.414,0.276,0.0,0.0
0,Maurice Ager,2006,DAL,0.314,12.8,0.786,0.357,0.043,0.071,0.314,0.214,0.309,0.28,0.333,0.0,0.409,0.333,0.235,0.057,2.0,0.4,0.2,0.0,0.0,0.0
1,Maurice Ager,2007,TOT,0.323,13.7,0.708,0.338,0.062,0.046,0.262,0.292,0.391,0.455,0.25,0.0,0.412,0.158,0.722,0.077,5.0,1.0,0.211,0.25,0.0,0.0
2,Maurice Ager,2007,DAL,0.185,13.9,0.704,0.296,0.074,0.111,0.222,0.296,0.263,0.375,0.5,0.0,0.167,0.0,0.8,0.074,2.0,,0.0,,0.0,0.0
3,Maurice Ager,2007,NJN,0.421,13.6,0.711,0.368,0.053,0.0,0.289,0.289,0.481,0.5,0.0,,0.545,0.273,0.692,0.079,3.0,1.0,0.364,0.25,0.0,0.0
4,Maurice Ager,2008,NJN,0.349,11.2,0.86,0.442,0.023,0.047,0.349,0.14,0.405,0.632,0.0,0.0,0.2,0.0,0.467,0.047,1.0,,0.0,,0.0,0.0
5,Maurice Ager,2010,MIN,0.545,16.5,0.636,0.182,0.273,0.0,0.182,0.364,0.429,1.0,0.0,,0.5,0.75,0.0,0.0,0.0,0.333,0.0,,1.0,1.0
0,Blake Ahearn,2007,MIA,0.263,18.6,0.404,0.14,0.07,0.088,0.105,0.596,0.217,0.25,0.5,0.2,0.0,0.294,0.2,0.0,0.0,1.0,0.235,0.375,0.0,0.0
1,Blake Ahearn,2008,SAS,0.333,18.5,0.333,0.167,0.167,0.0,0.0,0.667,0.0,0.0,0.0,,,0.5,,0.0,0.0,1.0,0.25,1.0,0.0,0.0
2,Blake Ahearn,2011,UTA,0.286,21.0,0.357,0.0,0.0,0.214,0.143,0.643,0.4,,,0.333,0.5,0.222,0.5,0.0,0.0,0.5,0.556,0.0,0.0,0.0
0,Alexis Ajinca,2008,CHA,0.362,13.3,0.971,0.174,0.159,0.159,0.478,0.029,0.373,0.417,0.364,0.273,0.394,0.0,0.72,0.058,3.0,,0.0,,0.0,0.0
1,Alexis Ajinca,2009,CHA,0.5,8.4,1.0,0.4,0.2,0.1,0.3,0.0,0.5,1.0,0.0,0.0,0.333,,0.8,0.1,1.0,,,,0.0,0.0
2,Alexis Ajinca,2010,TOT,0.444,15.5,0.744,0.233,0.068,0.068,0.376,0.256,0.475,0.677,0.556,0.222,0.38,0.353,0.66,0.09,9.0,1.0,0.059,1.0,0.0,0.0
3,Alexis Ajinca,2010,DAL,0.375,14.8,0.781,0.125,0.125,0.219,0.313,0.219,0.36,0.5,0.5,0.286,0.3,0.429,0.556,0.031,0.0,1.0,0.286,1.0,0.0,0.0
4,Alexis Ajinca,2010,TOR,0.465,15.7,0.733,0.267,0.05,0.02,0.396,0.267,0.514,0.704,0.6,0.0,0.4,0.333,0.684,0.109,9.0,1.0,0.0,,0.0,0.0
5,Alexis Ajinca,2013,NOP,0.546,6.8,0.996,0.494,0.197,0.181,0.129,0.004,0.548,0.642,0.388,0.467,0.531,0.0,0.706,0.213,46.0,,0.0,,0.0,0.0
6,Alexis Ajinca,2014,NOP,0.55,7.2,1.0,0.34,0.353,0.198,0.106,0.0,0.55,0.616,0.552,0.508,0.429,,0.613,0.088,28.0,,,,0.0,0.0
7,Alexis Ajinca,2015,NOP,0.476,9.4,0.997,0.283,0.257,0.108,0.346,0.003,0.478,0.674,0.346,0.324,0.468,0.0,0.767,0.098,27.0,,0.0,,0.0,0.0
8,Alexis Ajinca,2016,NOP,0.5,9.0,0.978,0.348,0.253,0.107,0.27,0.022,0.511,0.71,0.378,0.579,0.354,0.0,0.82,0.129,20.0,,0.0,,0.0,0.0
0,Josh Akognon,2012,DAL,0.5,24.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,,,,0.5,0.5,0.0,0.0,0.0,1.0,0.0,,0.0,0.0
0,DeVaughn Akoon-Purcell,2018,DEN,0.3,12.9,0.6,0.5,0.0,0.0,0.1,0.4,0.5,0.6,,,0.0,0.0,0.667,0.1,1.0,,0.25,0.0,0.0,0.0
0,Solomon Alabi,2010,TOR,0.2,9.0,1.0,0.133,0.4,0.333,0.133,0.0,0.2,1.0,0.167,0.0,0.0,,0.0,0.133,2.0,,,,0.0,0.0
1,Solomon Alabi,2011,TOR,0.361,6.8,1.0,0.528,0.111,0.278,0.083,0.0,0.361,0.579,0.0,0.2,0.0,,0.462,0.222,6.0,,,,0.0,0.0
0,Furkan Aldemir,2014,PHI,0.513,5.9,0.936,0.628,0.167,0.013,0.128,0.064,0.548,0.694,0.154,1.0,0.3,0.0,0.45,0.128,10.0,,0.0,,0.0,0.0
0,Cole Aldrich,2010,OKC,0.533,3.8,1.0,0.4,0.6,0.0,0.0,0.0,0.533,1.0,0.222,,,,0.375,0.333,5.0,,,,0.0,0.0
1,Cole Aldrich,2011,OKC,0.524,3.6,1.0,0.548,0.429,0.024,0.0,0.0,0.524,0.696,0.333,0.0,,,0.773,0.333,13.0,,,,0.0,0.0
2,Cole Aldrich,2012,TOT,0.55,3.7,1.0,0.55,0.438,0.013,0.0,0.0,0.55,0.682,0.371,1.0,,,0.636,0.25,16.0,,,,0.0,0.0
3,Cole Aldrich,2012,HOU,0.535,4.2,1.0,0.512,0.465,0.023,0.0,0.0,0.535,0.636,0.4,1.0,,,0.783,0.256,8.0,,,,0.0,0.0
4,Cole Aldrich,2012,SAC,0.568,3.0,1.0,0.595,0.405,0.0,0.0,0.0,0.568,0.727,0.333,,,,0.476,0.243,8.0,,,,0.0,0.0
5,Cole Aldrich,2013,NYK,0.541,3.4,1.0,0.492,0.508,0.0,0.0,0.0,0.541,0.633,0.452,,,,0.545,0.131,7.0,,,,0.0,0.0
6,Cole Aldrich,2014,NYK,0.478,4.7,1.0,0.349,0.571,0.06,0.007,0.0,0.478,0.695,0.366,0.333,0.0,,0.653,0.093,26.0,,,,0.0,0.0
7,Cole Aldrich,2015,LAC,0.596,2.8,1.0,0.56,0.427,0.013,0.0,0.0,0.596,0.667,0.521,0.0,,,0.776,0.093,17.0,,,,0.0,0.0
8,Cole Aldrich,2016,MIN,0.523,3.0,1.0,0.581,0.407,0.012,0.0,0.0,0.523,0.64,0.371,0.0,,,0.733,0.128,11.0,,,,0.0,0.0
9,Cole Aldrich,2017,MIN,0.333,3.2,1.0,0.533,0.467,0.0,0.0,0.0,0.333,0.25,0.429,,,,0.8,0.067,1.0,,,,0.0,0.0
0,LaMarcus Aldridge,2006,POR,0.503,9.3,0.996,0.367,0.129,0.194,0.305,0.004,0.505,0.71,0.484,0.312,0.39,0.0,0.68,0.121,52.0,,0.0,,0.0,0.0
1,LaMarcus Aldridge,2007,POR,0.484,10.9,0.994,0.197,0.272,0.218,0.308,0.006,0.486,0.693,0.463,0.443,0.403,0.143,0.645,0.079,86.0,1.0,0.143,0.0,2.0,0.0
2,LaMarcus Aldridge,2008,POR,0.484,11.0,0.977,0.245,0.211,0.179,0.343,0.023,0.489,0.671,0.45,0.422,0.418,0.25,0.567,0.098,108.0,1.0,0.643,0.389,3.0,0.0
3,LaMarcus Aldridge,2009,POR,0.495,10.8,0.986,0.247,0.215,0.21,0.314,0.014,0.498,0.716,0.442,0.431,0.409,0.313,0.57,0.078,87.0,1.0,0.375,0.667,3.0,0.0
4,LaMarcus Aldridge,2010,POR,0.5,9.3,0.984,0.32,0.271,0.155,0.238,0.016,0.505,0.704,0.397,0.402,0.427,0.174,0.546,0.117,148.0,0.75,0.217,0.0,4.0,0.0
5,LaMarcus Aldridge,2011,POR,0.512,10.6,0.988,0.281,0.182,0.205,0.32,0.012,0.516,0.687,0.523,0.404,0.434,0.182,0.536,0.062,54.0,0.5,0.364,0.0,1.0,0.0
6,LaMarcus Aldridge,2012,POR,0.484,11.7,0.989,0.215,0.192,0.197,0.385,0.011,0.488,0.694,0.447,0.438,0.418,0.143,0.542,0.047,56.0,0.5,0.286,0.25,1.0,0.0
7,LaMarcus Aldridge,2013,POR,0.458,12.5,0.989,0.186,0.162,0.226,0.415,0.011,0.461,0.675,0.364,0.388,0.442,0.2,0.599,0.027,36.0,0.667,0.067,0.0,1.0,0.0
8,LaMarcus Aldridge,2014,POR,0.466,12.8,0.926,0.192,0.164,0.206,0.365,0.074,0.475,0.701,0.448,0.392,0.415,0.352,0.468,0.02,27.0,0.919,0.295,0.355,1.0,0.0
9,LaMarcus Aldridge,2015,SAS,0.513,10.0,0.985,0.279,0.191,0.211,0.303,0.015,0.521,0.733,0.465,0.427,0.426,0.0,0.66,0.047,47.0,,0.5,0.0,0.0,0.0
10,LaMarcus Aldridge,2016,SAS,0.477,11.8,0.947,0.222,0.194,0.202,0.328,0.053,0.48,0.7,0.422,0.387,0.424,0.411,0.577,0.041,37.0,0.957,0.411,0.435,0.0,0.0
11,LaMarcus Aldridge,2017,SAS,0.51,9.8,0.932,0.275,0.212,0.256,0.189,0.068,0.526,0.735,0.446,0.438,0.431,0.293,0.502,0.036,46.0,0.963,0.163,0.467,1.0,0.0
12,LaMarcus Aldridge,2018,SAS,0.519,9.7,0.968,0.27,0.246,0.252,0.201,0.032,0.528,0.716,0.485,0.437,0.442,0.238,0.588,0.042,51.0,0.9,0.095,0.25,0.0,0.0
0,Cliff Alexander,2015,POR,0.5,7.4,1.0,0.4,0.3,0.1,0.2,0.0,0.5,1.0,0.0,0.0,0.5,,0.4,0.2,2.0,,,,0.0,0.0
0,Cory Alexander,2000,ORL,0.321,16.8,0.714,0.161,0.071,0.143,0.339,0.286,0.35,0.222,0.75,0.25,0.368,0.25,0.286,0.0,0.0,1.0,0.125,0.0,1.0,0.0
1,Cory Alexander,2004,CHA,0.327,16.4,0.612,0.204,0.041,0.163,0.204,0.388,0.267,0.5,0.0,0.25,0.1,0.421,0.25,0.0,0.0,1.0,0.053,1.0,0.0,0.0
0,Courtney Alexander,2000,TOT,0.417,13.6,0.92,0.18,0.117,0.232,0.391,0.08,0.421,0.505,0.388,0.346,0.438,0.37,0.581,0.005,3.0,0.588,0.174,0.125,0.0,0.0
1,Courtney Alexander,2000,DAL,0.348,12.3,0.944,0.242,0.09,0.298,0.315,0.056,0.351,0.465,0.25,0.264,0.375,0.3,0.627,0.0,0.0,0.667,0.2,0.0,0.0,0.0
2,Courtney Alexander,2000,WAS,0.448,14.2,0.909,0.152,0.129,0.203,0.425,0.091,0.454,0.533,0.431,0.4,0.458,0.389,0.564,0.008,3.0,0.571,0.167,0.167,0.0,0.0
3,Courtney Alexander,2001,WAS,0.47,12.6,0.962,0.19,0.127,0.278,0.367,0.038,0.478,0.689,0.283,0.47,0.443,0.278,0.642,0.042,20.0,0.8,0.222,0.25,0.0,0.0
4,Courtney Alexander,2002,NOH,0.382,13.1,0.887,0.25,0.044,0.234,0.36,0.113,0.388,0.484,0.273,0.347,0.363,0.333,0.747,0.02,9.0,1.0,0.404,0.478,0.0,0.0
0,Joe Alexander,2008,MIL,0.416,12.2,0.812,0.302,0.094,0.18,0.237,0.188,0.432,0.622,0.217,0.341,0.345,0.348,0.709,0.061,14.0,0.938,0.37,0.353,0.0,0.0
1,Joe Alexander,2009,CHI,0.167,9.2,0.833,0.5,0.0,0.167,0.167,0.167,0.2,0.333,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0
0,Victor Alexander,2001,DET,0.353,15.4,0.961,0.118,0.059,0.137,0.647,0.039,0.367,1.0,1.0,0.286,0.212,0.0,0.778,0.0,0.0,,1.0,0.0,0.0,0.0
0,Rawle Alkins,2018,CHI,0.333,10.1,0.692,0.385,0.282,0.026,0.0,0.308,0.37,0.533,0.182,0.0,,0.25,0.7,0.026,1.0,1.0,0.333,0.5,0.0,0.0
0,Grayson Allen,2018,UTA,0.376,17.5,0.444,0.157,0.14,0.079,0.067,0.556,0.443,0.571,0.36,0.286,0.5,0.323,0.4,0.045,6.0,0.938,0.303,0.4,1.0,0.0
0,Jarrett Allen,2017,BRK,0.589,3.7,0.962,0.668,0.232,0.038,0.023,0.038,0.599,0.698,0.38,0.333,0.333,0.333,0.843,0.353,117.0,1.0,0.867,0.385,2.0,1.0
1,Jarrett Allen,2018,BRK,0.59,4.3,0.921,0.678,0.22,0.021,0.002,0.079,0.629,0.725,0.384,0.167,0.0,0.133,0.83,0.343,170.0,1.0,0.867,0.154,0.0,0.0
0,Kadeem Allen,2017,BOS,0.273,14.4,0.5,0.318,0.091,0.091,0.0,0.5,0.545,0.571,0.5,0.5,,0.0,0.5,0.045,1.0,,0.364,0.0,0.0,0.0
1,Kadeem Allen,2018,NYK,0.461,12.0,0.745,0.298,0.184,0.191,0.071,0.255,0.457,0.643,0.308,0.37,0.3,0.472,0.208,0.0,0.0,0.882,0.139,0.2,1.0,0.0
0,Lavoy Allen,2011,PHI,0.473,10.8,1.0,0.222,0.21,0.24,0.329,0.0,0.473,0.676,0.6,0.4,0.309,,0.848,0.048,7.0,,,,0.0,0.0
1,Lavoy Allen,2012,PHI,0.454,10.1,0.998,0.275,0.222,0.165,0.335,0.002,0.455,0.664,0.436,0.36,0.342,0.0,0.743,0.037,16.0,,1.0,0.0,0.0,0.0
2,Lavoy Allen,2013,TOT,0.447,9.7,0.957,0.29,0.27,0.14,0.257,0.043,0.46,0.563,0.531,0.286,0.364,0.154,0.697,0.02,6.0,1.0,0.0,,0.0,0.0
3,Lavoy Allen,2013,PHI,0.44,10.0,0.951,0.282,0.267,0.132,0.271,0.049,0.455,0.547,0.535,0.286,0.361,0.154,0.678,0.023,6.0,1.0,0.0,,0.0,0.0
4,Lavoy Allen,2013,IND,0.5,7.7,1.0,0.353,0.294,0.206,0.147,0.0,0.5,0.667,0.5,0.286,0.4,,0.824,0.0,0.0,,,,0.0,0.0
5,Lavoy Allen,2014,IND,0.472,10.3,1.0,0.308,0.224,0.09,0.378,0.0,0.472,0.707,0.403,0.259,0.372,,0.674,0.03,8.0,,,,0.0,0.0
6,Lavoy Allen,2015,IND,0.516,7.6,1.0,0.381,0.273,0.103,0.243,0.0,0.516,0.709,0.446,0.289,0.389,,0.691,0.081,28.0,,,,0.0,0.0
7,Lavoy Allen,2016,IND,0.458,8.9,0.994,0.357,0.256,0.06,0.321,0.006,0.461,0.583,0.465,0.2,0.37,0.0,0.74,0.03,4.0,,0.0,,0.0,0.0
0,Malik Allen,2001,MIA,0.431,11.6,0.98,0.176,0.216,0.216,0.373,0.02,0.44,0.778,0.455,0.182,0.421,0.0,0.591,0.039,2.0,,0.0,,0.0,0.0
1,Malik Allen,2002,MIA,0.424,12.4,0.995,0.119,0.222,0.261,0.394,0.005,0.426,0.543,0.457,0.345,0.428,0.0,0.639,0.027,16.0,,0.25,0.0,0.0,0.0
2,Malik Allen,2003,MIA,0.419,13.1,1.0,0.111,0.177,0.232,0.48,0.0,0.419,0.5,0.429,0.37,0.421,,0.675,0.01,2.0,,,,0.0,0.0
3,Malik Allen,2004,TOT,0.475,13.3,1.0,0.147,0.13,0.26,0.463,0.0,0.475,0.808,0.348,0.391,0.451,,0.643,0.04,7.0,,,,0.0,0.0
4,Malik Allen,2004,MIA,0.461,12.4,1.0,0.184,0.158,0.224,0.434,0.0,0.461,0.786,0.333,0.471,0.364,,0.571,0.066,5.0,,,,0.0,0.0
5,Malik Allen,2004,CHA,0.485,14.0,1.0,0.119,0.109,0.287,0.485,0.0,0.485,0.833,0.364,0.345,0.51,,0.694,0.02,2.0,,,,0.0,0.0
6,Malik Allen,2005,CHI,0.49,11.5,0.996,0.186,0.186,0.291,0.332,0.004,0.488,0.435,0.522,0.472,0.512,1.0,0.725,0.028,6.0,0.0,0.0,,0.0,0.0
7,Malik Allen,2006,CHI,0.415,12.2,0.996,0.178,0.167,0.244,0.407,0.004,0.416,0.522,0.279,0.349,0.467,0.0,0.71,0.004,1.0,,0.0,,0.0,0.0
8,Malik Allen,2007,TOT,0.48,14.8,0.994,0.128,0.07,0.196,0.599,0.006,0.48,0.524,0.174,0.469,0.51,0.5,0.75,0.009,3.0,1.0,0.0,,1.0,0.0
9,Malik Allen,2007,NJN,0.475,15.0,0.992,0.123,0.069,0.195,0.605,0.008,0.475,0.531,0.111,0.451,0.513,0.5,0.756,0.004,1.0,1.0,0.0,,1.0,0.0
10,Malik Allen,2007,DAL,0.5,13.9,1.0,0.152,0.076,0.197,0.576,0.0,0.5,0.5,0.4,0.538,0.5,,0.727,0.03,2.0,,,,0.0,0.0
11,Malik Allen,2008,MIL,0.429,13.2,0.994,0.176,0.076,0.288,0.453,0.006,0.432,0.433,0.385,0.469,0.416,0.0,0.753,0.029,5.0,,0.0,,0.0,0.0
12,Malik Allen,2009,DEN,0.397,14.3,0.948,0.198,0.06,0.112,0.578,0.052,0.409,0.435,0.143,0.538,0.403,0.167,0.622,0.017,2.0,1.0,0.667,0.25,0.0,0.0
13,Malik Allen,2010,ORL,0.355,12.4,1.0,0.226,0.097,0.194,0.484,0.0,0.355,0.714,0.333,0.333,0.2,,0.636,0.0,0.0,,,,0.0,0.0
0,Ray Allen,2000,MIL,0.48,14.7,0.643,0.235,0.086,0.183,0.14,0.357,0.506,0.659,0.429,0.418,0.41,0.433,0.437,0.027,31.0,0.856,0.27,0.5,1.0,0.0
1,Ray Allen,2001,MIL,0.462,16.9,0.54,0.167,0.089,0.176,0.108,0.46,0.485,0.547,0.461,0.455,0.46,0.434,0.449,0.028,27.0,0.769,0.25,0.447,8.0,0.0
2,Ray Allen,2002,TOT,0.439,15.7,0.609,0.165,0.127,0.185,0.132,0.391,0.478,0.613,0.37,0.492,0.394,0.377,0.327,0.02,25.0,0.796,0.242,0.364,4.0,0.0
3,Ray Allen,2002,MIL,0.437,15.8,0.613,0.161,0.123,0.202,0.127,0.387,0.463,0.612,0.303,0.475,0.412,0.395,0.412,0.017,14.0,0.805,0.228,0.31,3.0,0.0
4,Ray Allen,2002,SEA,0.441,15.5,0.604,0.171,0.132,0.161,0.139,0.396,0.5,0.615,0.459,0.522,0.372,0.351,0.213,0.023,11.0,0.782,0.261,0.431,1.0,0.0
5,Ray Allen,2003,SEA,0.44,15.3,0.628,0.181,0.138,0.146,0.164,0.372,0.468,0.701,0.329,0.378,0.407,0.392,0.371,0.021,20.0,0.797,0.225,0.447,3.0,0.0
6,Ray Allen,2004,SEA,0.428,15.8,0.628,0.185,0.103,0.138,0.201,0.372,0.459,0.606,0.364,0.398,0.415,0.376,0.311,0.021,27.0,0.804,0.185,0.369,5.0,0.0
7,Ray Allen,2005,SEA,0.454,17.2,0.565,0.145,0.1,0.123,0.197,0.435,0.486,0.628,0.4,0.451,0.447,0.412,0.337,0.011,16.0,0.751,0.17,0.432,4.0,0.0
8,Ray Allen,2006,SEA,0.438,16.2,0.616,0.181,0.09,0.129,0.215,0.384,0.479,0.608,0.365,0.477,0.419,0.372,0.306,0.008,9.0,0.806,0.181,0.363,3.0,0.0
9,Ray Allen,2007,BOS,0.445,16.7,0.542,0.2,0.08,0.092,0.169,0.458,0.485,0.604,0.329,0.33,0.503,0.398,0.537,0.009,9.0,0.806,0.263,0.403,3.0,0.0
10,Ray Allen,2008,BOS,0.48,17.0,0.533,0.188,0.058,0.096,0.191,0.467,0.542,0.641,0.517,0.52,0.462,0.409,0.54,0.003,3.0,0.925,0.379,0.478,0.0,0.0
