,Full Name,Year,Tm,FG%,Dist.,2P_A,0-3_A,3-10_A,10-16_A,16-3pt_A,3P_A,2P%,0-3%,3-10%,10-16%,16-3pt%,3P%,Astd_2P,Dunk%,Dunks_Md,Astd_3P,%Corner3_A,Corner_3P%,Heaves_A,Heaves_Md
7,Otto Porter,2018,CHI,0.483,17.5,0.602,0.109,0.114,0.144,0.234,0.398,0.479,0.591,0.522,0.483,0.404,0.488,0.517,0.01,2.0,0.795,0.175,0.5,0.0,0.0
0,Terry Porter,2000,SAS,0.448,17.0,0.534,0.177,0.077,0.086,0.193,0.466,0.468,0.603,0.324,0.316,0.471,0.424,0.318,0.0,0.0,0.782,0.288,0.508,1.0,0.0
1,Terry Porter,2001,SAS,0.424,17.4,0.558,0.159,0.056,0.103,0.24,0.442,0.43,0.549,0.389,0.364,0.39,0.415,0.247,0.0,0.0,0.712,0.282,0.5,0.0,0.0
0,Bobby Portis,2015,CHI,0.427,10.5,0.881,0.321,0.197,0.11,0.25,0.119,0.443,0.586,0.372,0.25,0.404,0.308,0.629,0.069,24.0,0.938,0.154,0.0,1.0,0.0
1,Bobby Portis,2016,CHI,0.488,13.1,0.744,0.267,0.16,0.115,0.203,0.256,0.541,0.69,0.55,0.302,0.474,0.333,0.642,0.043,16.0,1.0,0.458,0.364,1.0,0.0
2,Bobby Portis,2017,CHI,0.471,11.9,0.725,0.296,0.191,0.105,0.132,0.275,0.514,0.588,0.458,0.541,0.411,0.359,0.54,0.031,20.0,1.0,0.112,0.36,1.0,0.0
3,Bobby Portis,2018,TOT,0.444,12.6,0.696,0.272,0.236,0.084,0.104,0.304,0.467,0.573,0.439,0.434,0.277,0.393,0.534,0.046,23.0,1.0,0.105,0.35,0.0,0.0
4,Bobby Portis,2018,CHI,0.45,11.4,0.734,0.306,0.244,0.118,0.066,0.266,0.477,0.506,0.515,0.5,0.167,0.375,0.526,0.048,9.0,1.0,0.042,0.333,0.0,0.0
5,Bobby Portis,2018,WAS,0.44,13.6,0.667,0.246,0.23,0.059,0.132,0.333,0.458,0.636,0.378,0.333,0.319,0.403,0.541,0.045,14.0,1.0,0.143,0.353,0.0,0.0
0,Kristaps Porzingis,2015,NYK,0.421,13.2,0.726,0.216,0.184,0.167,0.159,0.274,0.454,0.576,0.356,0.405,0.454,0.333,0.586,0.064,52.0,0.988,0.099,0.292,1.0,0.0
