,Team,Payroll,year,salary_cap,portion,Tm
435,Washington,73372974.0,2014,63065000,1.16,WAS
436,San Antonio,70770209.0,2014,63065000,1.12,SAS
437,Portland,69936842.0,2014,63065000,1.11,POR
438,Minnesota,69378954.0,2014,63065000,1.1,MIN
439,Chicago,67414682.0,2014,63065000,1.07,CHI
440,Detroit,67410675.0,2014,63065000,1.07,DET
441,Charlotte,66792937.0,2014,63065000,1.06,CHH
442,Boston,62218516.0,2014,63065000,0.99,BOS
443,Utah,60847538.0,2014,63065000,0.96,UTA
444,Orlando,59629210.0,2014,63065000,0.95,ORL
445,Atlanta,58320278.0,2014,63065000,0.92,ATL
446,Phoenix,58018672.0,2014,63065000,0.92,PHO
447,Denver,56820307.0,2014,63065000,0.9,DEN
448,Milwaukee,54473275.0,2014,63065000,0.86,MIL
449,Philadelphia,54355571.0,2014,63065000,0.86,PHI
450,Cleveland,108300458.0,2015,70000000,1.55,CLE
451,LA Clippers,97019321.0,2015,70000000,1.39,LAC
452,Oklahoma City,95708387.0,2015,70000000,1.37,OKC
453,Golden State,93669566.0,2015,70000000,1.34,GSW
454,San Antonio,87832839.0,2015,70000000,1.25,SAS
455,Houston,87504058.0,2015,70000000,1.25,HOU
456,Chicago,87073838.0,2015,70000000,1.24,CHI
457,Miami,85764781.0,2015,70000000,1.23,MIA
458,Washington,85055155.0,2015,70000000,1.22,WAS
459,New Orleans,83709371.0,2015,70000000,1.2,NOH
460,Memphis,83223881.0,2015,70000000,1.19,MEM
461,Brooklyn,80258302.0,2015,70000000,1.15,BRK
462,Detroit,77256014.0,2015,70000000,1.1,DET
463,Boston,77141919.0,2015,70000000,1.1,BOS
464,Charlotte,76860006.0,2015,70000000,1.1,CHH
465,Dallas,75397067.0,2015,70000000,1.08,DAL
466,New York,74237021.0,2015,70000000,1.06,NYK
467,Milwaukee,73843541.0,2015,70000000,1.05,MIL
468,LA Lakers,72694352.0,2015,70000000,1.04,LAL
469,Denver,72589023.0,2015,70000000,1.04,DEN
470,Minnesota,72287243.0,2015,70000000,1.03,MIN
471,Atlanta,71661760.0,2015,70000000,1.02,ATL
472,Indiana,71605233.0,2015,70000000,1.02,IND
473,Toronto,71591189.0,2015,70000000,1.02,TOR
474,Sacramento,70610560.0,2015,70000000,1.01,SAC
475,Phoenix,68095365.0,2015,70000000,0.97,PHO
476,Philadelphia,64583220.0,2015,70000000,0.92,PHI
477,Utah,63608425.0,2015,70000000,0.91,UTA
478,Orlando,63199651.0,2015,70000000,0.9,ORL
479,Portland,61685814.0,2015,70000000,0.88,POR
480,Cleveland,128522489.0,2016,94143000,1.37,CLE
481,Portland,119732234.0,2016,94143000,1.27,POR
482,LA Clippers,114756766.0,2016,94143000,1.22,LAC
483,San Antonio,112017779.0,2016,94143000,1.19,SAS
484,Memphis,110083520.0,2016,94143000,1.17,MEM
485,Toronto,108599970.0,2016,94143000,1.15,TOR
486,Detroit,106492988.0,2016,94143000,1.13,DET
487,Orlando,104096951.0,2016,94143000,1.11,ORL
