Full Name,Pos,cluster
Lucious Harris,SG,Shooting Wing
Allan Houston,SG,Scoring Wing
Kerry Kittles,SG,Shooting Wing
Christian Laettner,PF,Versatile Forward
George Lynch,SF,Versatile Forward
Aaron McKie,SG,Scoring Wing
Ruben Patterson,SF,3-and-D Wing
Anthony Peeler,SG,Scoring Wing
Wesley Person,SG,3-and-D Wing
Glenn Robinson,SF,3-and-D Wing
Bryon Russell,SF,3-and-D Wing
Steve Smith,SG,Scoring Wing
Latrell Sprewell,SF,Shooting Wing
Bob Sura,SG,Scoring Wing
Maurice Taylor,PF,Offensive Center
Kenny Thomas,PF,Offensive Center
Kurt Thomas,PF,Offensive Center
Stacey Augmon,SF,Shooting Wing
J.R. Bremer,PG,Combo Guard
Kwame Brown,PF,Offensive Center
Derrick Coleman,PF,Offensive Center
Chris Crawford,PF,3-and-D Wing
Michael Curry,SG,Shooting Wing
Rick Fox,SF,3-and-D Wing
Dion Glover,SG,Shooting Wing
Mark Jackson,PG,Floor General
Jamal Mashburn,SF,Shooting Wing
Ron Mercer,SG,Shooting Wing
Glen Rice,SF,Shooting Wing
Rod Strickland,PG,Floor General
Alvin Williams,SG,Combo Guard
Scott Williams,C,Defensive Center
Courtney Alexander,PG,Shooting Wing
Calbert Cheaney,SG,3-and-D Wing
Emanual Davis,SG,Scoring Wing
Michael Dickerson,SG,Scoring Wing
Donnell Harvey,SF,Offensive Center
Cherokee Parks,PF,Offensive Center
Chris Whitney,PG,Combo Guard
Jay Williams,PG,Floor General
Jerome Williams,PF,Offensive Center
Walt Williams,SF,3-and-D Wing
Greg Anthony,PG,Combo Guard
Vin Baker,C,Offensive Center
Mookie Blaylock,PG,Floor General
Terrell Brandon,PG,Floor General
Bryce Drew,PG,Combo Guard
Jeff Foster,C,Defensive Center
Tim Hardaway,PG,Floor General
Popeye Jones,PF,Defensive Center
Grant Long,PF,3-and-D Wing
George McCloud,SF,Scoring Wing
Chris Mihm,C,Defensive Center
Lee Nailon,SF,Versatile Forward
Tyrone Nesby,SF,3-and-D Wing
Johnny Newman,SG,Shooting Wing
Charles Oakley,PF,Offensive Center
Mark Pope,PF,Versatile Forward
Terry Porter,PG,Combo Guard
John Starks,SG,Shooting Wing
Bryant Stith,SG,Shooting Wing
Isaac Austin,C,Offensive Center
Shawn Bradley,C,Defensive Center
Khalid El-Amin,PG,Floor General
Mario Elie,SG,Shooting Wing
Sean Elliott,SF,Shooting Wing
Ron Harper,PG,3-and-D Wing
Avery Johnson,PG,Floor General
Larry Johnson,PF,3-and-D Wing
Matt Maloney,PG,Combo Guard
Roshown McLeod,SF,3-and-D Wing
Billy Owens,PF,Versatile Forward
Sam Perkins,PF,3-and-D Wing
Bryant Reeves,C,Offensive Center
Kevin Willis,C,Defensive Center
